division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-09-09c.555.0,uk.org.publicwhip/debate/2019-09-09c.554.5.4,house-of-commons,134
uk.org.publicwhip/debate/2019-09-09c.636.4,uk.org.publicwhip/debate/2019-09-09c.616.1.1,house-of-commons,135
uk.org.publicwhip/debate/2019-09-26c.915.7,uk.org.publicwhip/debate/2019-09-26c.915.6.1,house-of-commons,112
uk.org.publicwhip/debate/2019-10-15c.178.7,uk.org.publicwhip/debate/2019-10-15c.178.4.1,house-of-commons,131
uk.org.publicwhip/debate/2019-10-17c.500.0,uk.org.publicwhip/debate/2019-10-17c.494.3.1,house-of-commons,167
uk.org.publicwhip/debate/2019-10-19a.648.2,uk.org.publicwhip/debate/2019-10-19a.648.0.1,house-of-commons,85
uk.org.publicwhip/debate/2019-10-22d.916.0,uk.org.publicwhip/debate/2019-10-22d.825.3.1,house-of-commons,75
uk.org.publicwhip/debate/2019-10-22d.922.0,uk.org.publicwhip/debate/2019-10-22d.920.1.1,house-of-commons,76
uk.org.publicwhip/debate/2019-10-23c.1074.1,uk.org.publicwhip/debate/2019-10-23c.1074.2.4,house-of-commons,41
uk.org.publicwhip/debate/2019-10-23c.1089.3,uk.org.publicwhip/debate/2019-10-23c.1089.2.1,house-of-commons,44
uk.org.publicwhip/debate/2019-10-23c.1093.2,uk.org.publicwhip/debate/2019-10-23c.1093.1.1,house-of-commons,42
uk.org.publicwhip/debate/2019-10-23c.1098.2,uk.org.publicwhip/debate/2019-10-23c.1098.1.1,house-of-commons,43
uk.org.publicwhip/debate/2019-10-24c.1235.0,uk.org.publicwhip/debate/2019-10-24c.1235.1.5,house-of-commons,128
uk.org.publicwhip/debate/2019-10-24c.1239.0,uk.org.publicwhip/debate/2019-10-24c.1235.1.3,house-of-commons,129
uk.org.publicwhip/debate/2019-10-24c.1242.0,uk.org.publicwhip/debate/2019-10-24c.1242.1.3,house-of-commons,130
uk.org.publicwhip/debate/2019-10-28b.76.5,uk.org.publicwhip/debate/2019-10-28b.54.1.1,house-of-commons,156
uk.org.publicwhip/debate/2019-10-29b.226.0,uk.org.publicwhip/debate/2019-10-29b.225.1.1,house-of-commons,98
uk.org.publicwhip/debate/2019-10-29b.322.1,uk.org.publicwhip/debate/2019-10-29b.290.4.1,house-of-commons,100
uk.org.publicwhip/debate/2019-10-29b.327.3,uk.org.publicwhip/debate/2019-10-29b.327.2.3,house-of-commons,99
