gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,negative,__index_level_0__
uk.org.publicwhip/debate/2020-02-06c.560.1.4,2020-02-06,uk.org.publicwhip/debate/2020-02-06c.551.0,"",uk.org.publicwhip/debate/2020-02-06c.560.1,c560.1/4,Question put and agreed to.,Adjournment Debate: Children’s Mental Health Week,uk.org.publicwhip/debate/2020-02-06c.551.1.1,house-of-commons,,418
uk.org.publicwhip/debate/2020-02-10b.669.1.5,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.618.0,"",uk.org.publicwhip/debate/2020-02-10b.669.1,b669.1/5,Question put and agreed to.,Second Reading: Windrush Compensation Scheme (Expenditure) Bill,uk.org.publicwhip/debate/2020-02-10b.618.1.1,house-of-commons,,584
uk.org.publicwhip/debate/2020-02-10b.670.1.11,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.670.0,"",uk.org.publicwhip/debate/2020-02-10b.670.1,b670.1/11,Question agreed to.,WINDRUSH COMPENSATION SCHEME (EXPENDITURE) BILL (PROGRAMME),uk.org.publicwhip/debate/2020-02-10b.670.1.1,house-of-commons,,585
uk.org.publicwhip/debate/2020-02-10b.670.3.4,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.670.2,"",uk.org.publicwhip/debate/2020-02-10b.670.3,b670.3/4,Question agreed to.,WINDRUSH CoMPENSAtIoN SCHEME (EXPENDItURE) BILL (MoNEY),uk.org.publicwhip/debate/2020-02-10b.670.3.2,house-of-commons,,586
uk.org.publicwhip/debate/2020-02-10b.679.0.3,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.671.0,"",uk.org.publicwhip/debate/2020-02-10b.679.0,b679.0/3,Question put and agreed to.,Social Security,uk.org.publicwhip/debate/2020-02-10b.671.2.1,house-of-commons,,587
uk.org.publicwhip/debate/2020-02-10b.680.2.4,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.680.0,"",uk.org.publicwhip/debate/2020-02-10b.680.2,b680.2/4,Question put and agreed to.,Pensions,uk.org.publicwhip/debate/2020-02-10b.680.1.1,house-of-commons,,588
uk.org.publicwhip/debate/2020-02-10b.686.1.5,2020-02-10,uk.org.publicwhip/debate/2020-02-10b.681.0,"",uk.org.publicwhip/debate/2020-02-10b.686.1,b686.1/5,Question put and agreed to.,Adjournment Debate: European Statutory Instruments,uk.org.publicwhip/debate/2020-02-10b.680.5.1,house-of-commons,,589
uk.org.publicwhip/debate/2020-02-11e.767.0.12,2020-02-11,uk.org.publicwhip/debate/2020-02-11e.746.0,"",uk.org.publicwhip/debate/2020-02-11e.767.0,e767.0/12,Question put and agreed to.,Second Reading: Prisoners (Disclosure of Information About Victims) Bill,uk.org.publicwhip/debate/2020-02-11e.746.2.1,house-of-commons,,547
uk.org.publicwhip/debate/2020-02-11e.770.1.11,2020-02-11,uk.org.publicwhip/debate/2020-02-11e.770.0,"",uk.org.publicwhip/debate/2020-02-11e.770.1,e770.1/11,Question agreed to.,PRISONERS (DISCLOSURE OF INFORMATION ABOUT VICTIMS) BILL (PROGRAMME),uk.org.publicwhip/debate/2020-02-11e.770.1.1,house-of-commons,,548
uk.org.publicwhip/debate/2020-02-11e.826.4.2,2020-02-11,uk.org.publicwhip/debate/2020-02-11e.826.1,uk.org.publicwhip/debate/2020-02-11e.826.3,uk.org.publicwhip/debate/2020-02-11e.826.4,e826.4/2,Question agreed to.,Delegated Legislation,uk.org.publicwhip/debate/2020-02-11e.826.2.1,house-of-commons,,549
uk.org.publicwhip/debate/2020-02-11e.832.1.7,2020-02-11,uk.org.publicwhip/debate/2020-02-11e.827.0,"",uk.org.publicwhip/debate/2020-02-11e.832.1,e832.1/7,Question put and agreed to.,Adjournment Debate: Media Diversity,uk.org.publicwhip/debate/2020-02-11e.827.1.1,house-of-commons,,550
uk.org.publicwhip/debate/2020-02-12c.859.2.3,2020-02-12,uk.org.publicwhip/debate/2020-02-12c.856.0,"",uk.org.publicwhip/debate/2020-02-12c.859.2,c859.2/3,Main Question put and agreed to.,Terrorist Offenders (Restriction of Early Release) Bill (Business of the House),uk.org.publicwhip/debate/2020-02-12c.858.1.1,house-of-commons,,103
uk.org.publicwhip/debate/2020-02-12c.918.5.3,2020-02-12,uk.org.publicwhip/debate/2020-02-12c.863.0,"",uk.org.publicwhip/debate/2020-02-12c.918.5,c918.5/3,Question put and agreed to.,Second Reading: Terrorist Offenders (Restriction of Early Release) Bill,uk.org.publicwhip/debate/2020-02-12c.863.2.1,house-of-commons,,104
uk.org.publicwhip/debate/2020-02-12c.940.0.3,2020-02-12,uk.org.publicwhip/debate/2020-02-12c.920.0,uk.org.publicwhip/debate/2020-02-12c.920.2,uk.org.publicwhip/debate/2020-02-12c.940.0,c940.0/3,Question put and agreed to.,Third Reading: Terrorist Offenders (Restriction of Early Release) Bill,uk.org.publicwhip/debate/2020-02-12c.938.3.1,house-of-commons,,105
uk.org.publicwhip/debate/2020-02-12c.944.0.18,2020-02-12,uk.org.publicwhip/debate/2020-02-12c.941.0,"",uk.org.publicwhip/debate/2020-02-12c.944.0,c944.0/18,Question put and agreed to.,Adjournment Debate: Marine Licensing,uk.org.publicwhip/debate/2020-02-12c.941.1.1,house-of-commons,,106
uk.org.publicwhip/debate/2020-02-13f.1061.0.3,2020-02-13,uk.org.publicwhip/debate/2020-02-13f.1006.6,"",uk.org.publicwhip/debate/2020-02-13f.1061.0,f1061.0/3,Question put and agreed to.,February Adjournment,uk.org.publicwhip/debate/2020-02-13f.1061.0.4,house-of-commons,,359
uk.org.publicwhip/debate/2020-02-13f.1068.0.3,2020-02-13,uk.org.publicwhip/debate/2020-02-13f.1062.0,"",uk.org.publicwhip/debate/2020-02-13f.1068.0,f1068.0/3,Question put and agreed to.,Adjournment Debate: Coventry IKEA Store Closure,uk.org.publicwhip/debate/2020-02-13f.1062.1.1,house-of-commons,,360
uk.org.publicwhip/debate/2020-02-24c.112.3.5,2020-02-24,uk.org.publicwhip/debate/2020-02-24c.68.0,"",uk.org.publicwhip/debate/2020-02-24c.112.3,c112.3/5,Question put and agreed to.,Policing (England and Wales),uk.org.publicwhip/debate/2020-02-24c.68.2.1,house-of-commons,,107
uk.org.publicwhip/debate/2020-02-24c.147.1.6,2020-02-24,uk.org.publicwhip/debate/2020-02-24c.114.0,"",uk.org.publicwhip/debate/2020-02-24c.147.1,c147.1/6,Question put and agreed to.,Local Government Finance (England),uk.org.publicwhip/debate/2020-02-24c.114.2.1,house-of-commons,,108
uk.org.publicwhip/debate/2020-02-24c.157.1.3,2020-02-24,uk.org.publicwhip/debate/2020-02-24c.149.0,"",uk.org.publicwhip/debate/2020-02-24c.157.1,c157.1/3,Question put and agreed to.,Adjournment Debate: Social Security Benefits: Claimant Deaths,uk.org.publicwhip/debate/2020-02-24c.149.1.1,house-of-commons,,109
uk.org.publicwhip/debate/2020-02-25d.182.2.17,2020-02-25,uk.org.publicwhip/debate/2020-02-25d.182.0,"",uk.org.publicwhip/debate/2020-02-25d.182.2,d182.2/17,Question put and agreed to.,Leave for Bill: Hong Kong,uk.org.publicwhip/debate/2020-02-25d.182.2.1,house-of-commons,,382
uk.org.publicwhip/debate/2020-02-25d.286.4.4,2020-02-25,uk.org.publicwhip/debate/2020-02-25d.242.0,"",uk.org.publicwhip/debate/2020-02-25d.286.4,d286.4/4,Question agreed to.,Social Care,uk.org.publicwhip/debate/2020-02-25d.286.4.3,house-of-commons,,383
uk.org.publicwhip/debate/2020-02-25d.291.3.3,2020-02-25,uk.org.publicwhip/debate/2020-02-25d.290.1,uk.org.publicwhip/debate/2020-02-25d.291.2,uk.org.publicwhip/debate/2020-02-25d.291.3,d291.3/3,Question agreed to.,Approve: Legal Services Act 2007 (Chartered Institute of Legal Executives) (Appeals from Licensing Authority Decisions) Order 2020,uk.org.publicwhip/debate/2020-02-25d.291.3.2,house-of-commons,,384
uk.org.publicwhip/debate/2020-02-25d.295.0.18,2020-02-25,uk.org.publicwhip/debate/2020-02-25d.292.0,"",uk.org.publicwhip/debate/2020-02-25d.295.0,d295.0/18,Question put and agreed to.,Adjournment Debate: East Leake Health Centre,uk.org.publicwhip/debate/2020-02-25d.292.1.1,house-of-commons,,385
uk.org.publicwhip/debate/2020-02-26b.337.2.38,2020-02-26,uk.org.publicwhip/debate/2020-02-26b.337.0,"",uk.org.publicwhip/debate/2020-02-26b.337.2,b337.2/38,Question put and agreed to.,Leave for Bill: Workers (Definition and Rights),uk.org.publicwhip/debate/2020-02-26b.337.2.1,house-of-commons,,386
uk.org.publicwhip/debate/2020-02-26b.427.1.4,2020-02-26,uk.org.publicwhip/debate/2020-02-26b.369.0,"",uk.org.publicwhip/debate/2020-02-26b.427.1,b427.1/4,Question put and agreed to.,Second Reading: Environment Bill,uk.org.publicwhip/debate/2020-02-26b.341.2.1,house-of-commons,,387
